100	11	8	10510	18831	11431	222	
200	29	22	26542	49485	35551	1078		
300	79	45	49098	93061	74629	3157	
上面的忘记除deadlineFactor的个数了

100	0	0	561	1093	584	11	
200	1	1	1397	2590	1814	57	
300	3	2	2432	4510	3664	157	
400	7	3	3564	6693	6268	339	
500	11	4	4933	9552	9904	616	
600	19	7	6176	11901	14176	1069	
700	26	10	7439	13611	16869	1478（远程过，可能执行的慢了）	
700	27	10	7356	14206	19198	1763（无远程）
800	32	12	7230	16579	22564	2303	
900	48	16	9822	18609	30886	3798	
1000	61	21	10942	21495	39498	5662		
   .\dax\CyberShake_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.057s
 .\dax\Epigenomics_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.696s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	3.102s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.471s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.372s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	3.509s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.463s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	3.078s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	2.365s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	3.053s
.\dax\Epigenomics_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	3.136s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.003s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\Epigenomics_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	5.6s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	4.231s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	3.073s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	6.709s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	3.792s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	4.2s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	4.585s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	3.185s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	4.157s
.\dax\Epigenomics_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	4.517s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.007s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.007s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\Epigenomics_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	1.874s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	1.577s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.077s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	2.123s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	1.45s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	1.879s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	1.581s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	1.887s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	1.921s
.\dax\Epigenomics_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	1.497s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.009s
 .\dax\Epigenomics_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	2.415s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	2.448s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.753s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	2.254s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.557s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	1.659s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	2.476s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	2.492s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	2.476s
.\dax\Epigenomics_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	2.451s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\Epigenomics_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	6.388s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	7.175s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	7.157s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	6.435s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	6.809s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	5.992s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	6.325s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	6.126s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	6.465s
.\dax\Epigenomics_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	5.97s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\Epigenomics_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.004s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\Epigenomics_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	7.129s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	6.973s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	7.461s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	7.43s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	6.833s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	6.81s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	6.385s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	6.85s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	6.589s
.\dax\Epigenomics_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	6.756s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.002s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.006s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.704s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.442s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.857s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.752s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.021s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.648s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.757s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.698s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.808s
.\dax\Epigenomics_1000.xml-deadlineFactor_10.000 mpcMapMy2_42的runtime：	7.993s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.002s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.006s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.006s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.003s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.003s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	0.006s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	7.926s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	7.488s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	7.975s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	8.547s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	7.724s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	7.575s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	7.414s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	8.422s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	7.592s
.\dax\Epigenomics_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	8.022s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.003s
 .\dax\Epigenomics_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.003s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.003s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.003s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.003s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.377s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.329s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.362s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.465s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.333s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.949s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.481s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.425s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.468s
.\dax\Epigenomics_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	1.473s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
 .\dax\Epigenomics_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
.\dax\Epigenomics_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
.\dax\Epigenomics_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.003s
.\dax\Epigenomics_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.004s
.\dax\Epigenomics_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.003s
